"Fecha","Fecha banco","Nombre","Tipo","Grupo","Importe","Pagado","No contar","Notas"
"2024-09-23","2024-09-23","Chino","Hobbies","Gasto","-7.74","Sí","No",""
"2024-09-22","2024-09-22","ALDI","Comida Diaria","Gasto","-4.38","Sí","No",""
"2024-09-18","2024-09-18","Tiger","Hobbies","Gasto","-6","Sí","No",""
"2024-09-17","2024-09-17","Chino","Comida Diaria","Gasto","-1","Sí","No",""
"2024-09-16","2024-09-16","Abono promoción amigo","Otros Ingresos","Ingreso","40.5","Sí","No",""
"2024-09-15","2024-09-15","Chino","Comida Diaria","Gasto","-1","Sí","No",""
"2024-09-14","2024-09-14","Gasolina Cotsco","Otros Vida Diaria","Gasto","-50.85","Sí","No",""
"2024-09-14","2024-09-14","Carrefour","Comida Diaria","Gasto","-5.59","Sí","No",""
"2024-09-13","2024-09-13","Tiger","Hobbies","Gasto","-4.9","Sí","No",""
"2024-09-11","2024-09-11","Pintura para figuras","Hobbies","Gasto","-20.89","Sí","No",""
"2024-09-07","2024-09-07","D&D Inicio","Hobbies","Gasto","-19.95","Sí","No",""
"2024-09-04","2024-09-04","Cena Sushi con estos","Comida Fuera","Gasto","-26.05","Sí","No",""
"2024-09-03","2024-09-03","Papel Chino","Hobbies","Gasto","-6.95","Sí","No",""
"2024-09-03","2024-09-03","Ambientador coche","Otros Transporte","Gasto","-6.88","Sí","No",""
"2024-09-03","2024-09-03","Calcetines Bolos","Espectáculo (Cine/Teatro)","Gasto","-0.6","Sí","No",""
"2024-09-02","2024-09-02","Pago 3/3 Bambu Lab P1S","Hobbies","Gasto","-209.69","Sí","No",""
"2024-09-01","2024-09-01","Filamento","Hobbies","Gasto","-59.87","Sí","No",""
"2024-09-01","2024-09-01","Regalo Ana 2/4","Regalos Hechos","Gasto","-32.5","Sí","No",""
"2024-08-29","2024-08-29","Compartido","Otros Vida Diaria","Gasto","-531.94","Sí","No",""
"2024-08-29","2024-08-29","Pago Notion","Otros Ingresos","Ingreso","26.81","Sí","No",""
"2024-08-29","2024-08-29","Nómina Agosto","Salario","Ingreso","1663.01","Sí","No",""
"2024-08-29","2024-08-29","Pago Corte Ingles","Otros Casa","Gasto","-323.5","Sí","No",""
"2024-08-26","2024-08-26","Mercadona","Comida Diaria","Gasto","-13.15","Sí","No",""
"2024-08-24","2024-08-24","Mercadona","Comida Diaria","Gasto","-6.52","Sí","No",""
"2024-08-22","2024-08-22","Gasolina","Otros Vida Diaria","Gasto","-53.06","Sí","No",""
"2024-08-22","2024-08-22","Carrefour","Comida Diaria","Gasto","-7.9","Sí","No",""
"2024-08-21","2024-08-21","Carrefour","Comida Diaria","Gasto","-2.99","Sí","No",""
"2024-08-20","2024-08-20","Pipeta Nala","Otros Vida Diaria","Gasto","-15","Sí","No",""
"2024-08-20","2024-08-20","Ingreso de dinero","Otros Ingresos","Ingreso","108.88","Sí","No",""
"2024-08-20","2024-08-20","Carrefour","Comida Diaria","Gasto","-9.82","Sí","No",""
"2024-08-19","2024-08-19","Mercadona","Comida Diaria","Gasto","-6.69","Sí","No",""
"2024-08-17","2024-08-17","Mercadona","Comida Diaria","Gasto","-6.55","Sí","No",""
"2024-08-15","2024-08-15","Gafas","Ropa","Gasto","-10","Sí","No",""
"2024-08-13","2024-08-13","Compartido","Otros Vida Diaria","Gasto","-150","Sí","No",""
"2024-08-08","2024-08-08","Renovación DNI","Otros Transporte","Gasto","-59.58","Sí","No",""
"2024-08-08","2024-08-08","Arena Nala","Otros Vida Diaria","Gasto","-11.37","Sí","No",""
"2024-08-07","2024-08-07","Super","Comida Fuera","Gasto","-5.6","Sí","No",""
"2024-08-06","2024-08-06","Corte de pelo","Otros Vida Diaria","Gasto","-14","Sí","No",""
"2024-08-05","2024-08-05","Pago 2/3 Bambu Lab P1S","Hobbies","Gasto","-209.69","Sí","No",""
"2024-08-04","2024-08-04","McDonalds","Comida Fuera","Gasto","-13.12","Sí","No",""
"2024-08-04","2024-08-04","Regalo Ana 1/4","Regalos Hechos","Gasto","-35.49","Sí","No",""
"2024-08-04","2024-08-04","Devolución Primer Pago regalo Ana","Regalos Hechos","Devolución","32.87","Sí","No",""
"2024-07-31","2024-07-31","Boda","Otros Vida Diaria","Gasto","-250","Sí","No",""
"2024-07-31","2024-07-31","Pago Corte Ingles","Otros Casa","Gasto","-323.5","Sí","No",""
"2024-07-31","2024-07-31","Compartido","Otros Vida Diaria","Gasto","-650","Sí","No",""
"2024-07-31","2024-07-31","Nómina Julio","Salario","Ingreso","1663.01","Sí","No",""
"2024-07-28","2024-07-28","Google One","Google One","Gasto","-19.99","Sí","No",""
"2024-07-24","2024-07-24","Comida Javea","Comida","Gasto","-42.65","Sí","No",""
"2024-07-23","2024-07-23","Comida Javea","Comida","Gasto","-20.41","Sí","No",""
"2024-07-23","2024-07-23","Paddlesurf","Entretenimiento","Gasto","-40","Sí","No",""
"2024-07-19","2024-07-19","Comida Javea","Comida","Gasto","-46.1","Sí","No",""
"2024-07-19","2024-07-19","Primer Pago regalo Ana","Regalos Hechos","Gasto","-32.87","Sí","No",""
"2024-07-15","2024-07-15","Gasolina","Viaje","Gasto","-62.7","Sí","No",""
"2024-07-14","2024-07-14","PLA","Hobbies","Gasto","-30.37","Sí","No",""
"2024-07-14","2024-07-14","PLA","Hobbies","Gasto","-30.37","Sí","No",""
"2024-07-13","2024-07-13","Recreativas Iker","Regalos Hechos","Gasto","-3","Sí","No",""
"2024-07-13","2024-07-13","Lavado de coche","Otros Transporte","Gasto","-3","Sí","No",""
"2024-07-09","2024-07-09","PLA","Hobbies","Gasto","-20.47","Sí","No",""
"2024-07-07","2024-07-07","Camisa Zara","Ropa","Gasto","-29.95","Sí","No",""
"2024-07-07","2024-07-07","Pijama Primark","Ropa","Gasto","-12","Sí","No",""
"2024-07-03","2024-07-03","Comer fuera","Comida Fuera","Gasto","-23.53","Sí","No",""
"2024-07-02","2024-07-02","Pago 1/3 Bambu Lab P1S","Hobbies","Gasto","-209.69","Sí","No",""
"2024-06-28","2024-06-28","Red Dead","Videojuegos","Gasto","-19.79","Sí","No",""
"2024-06-28","2024-06-28","Compartido","Otros Vida Diaria","Gasto","-573.33","Sí","No",""
"2024-06-28","2024-06-28","Boda","Otros Vida Diaria","Gasto","-250","Sí","No",""
"2024-06-28","2024-06-28","Pago Corte Ingles","Otros Casa","Gasto","-323.5","Sí","No",""
"2024-06-28","2024-06-28","Nómina Junio","Salario","Ingreso","1664.71","Sí","No",""
"2024-06-28","2024-06-28","Gimnasio app","Gimnasio","Gasto","-24.21","Sí","No",""
"2024-06-27","2024-06-27","Mercadona","Otros Vida Diaria","Gasto","-2.54","Sí","No",""
"2024-06-27","2024-06-27","Mercadona","Otros Vida Diaria","Gasto","-6.47","Sí","No",""
"2024-06-26","2024-06-26","Mercadona","Otros Vida Diaria","Gasto","-4.85","Sí","No",""
