Name,Money,Date,Tipo Texto,Compartido
Compartido,"100,00 €",13 de abril de 2024,Gastos Compartidos,No
Five Guys,"52,70 €",14 de abril de 2024,Comida Fuera,Yes
ALDI,"2,99 €",16 de abril de 2024,Comida Diaria,No
Bimbo,"2,30 €",16 de abril de 2024,Comida Diaria,No
Mediamark regletas,"55,13 €",17 de abril de 2024,Casa Nueva,No
ALDI,"1,18 €",19 de abril de 2024,Comida Diaria,No
Super,"2,70 €",19 de abril de 2024,Comida Diaria,No
Alimentación,"3,75 €",19 de abril de 2024,Comida Diaria,No
Alimentación,"2,60 €",20 de abril de 2024,Comida Diaria,No
Plex pro,"3,34 €",20 de abril de 2024,Otros Casa,No
Carrefour,"5,58 €",23 de abril de 2024,Comida Diaria,No
Bimbo,"0,70 €",24 de abril de 2024,Comida Diaria,No
Certificado Persona Física,"3,62 €",24 de abril de 2024,Otros Vida Diaria,No
Petronela,"120,00 €",25 de abril de 2024,Gastos Compartidos,No
Compra compartida adelantada,"10,30 €",25 de abril de 2024,Gastos Compartidos,No
Regalo día de la madre,"18,90 €",25 de abril de 2024,Regalos Hechos,No
Devolución Ana Petronela,"60,00 €",26 de abril de 2024,Gastos Compartidos,No
Nómina Abril,"1664,71 €",27 de abril de 2024,Salario,No
Compartido + derrama - 9 de Cecilia - 10 de compra,"730,70 €",28 de abril de 2024,Gastos Compartidos,No
Pago El corte ingles,"94,50 €",28 de abril de 2024,Casa Nueva,No
Pago Ana Boda,"505,50 €",28 de abril de 2024,Boda,No
Mueble Alex,"80,00 €",4 de mayo de 2024,Muebles y Electrodomésticos,No
Comida,"38,25 €",6 de mayo de 2024,Comida Fuera,No
Bolos,"36,00 €",7 de mayo de 2024,Otros Entretenimiento,No
Cena,"12,95 €",7 de mayo de 2024,Comida Fuera,No
Mueble Alex,"80,00 €",7 de mayo de 2024,Muebles y Electrodomésticos,No
Compartido,"100,72 €",14 de mayo de 2024,Gastos Compartidos,No
Bola de baño para Ana,"7,50 €",14 de mayo de 2024,Regalos Hechos,No
Ratón PC,"66,70 €",17 de mayo de 2024,PC,No
Chino,"3,80 €",18 de mayo de 2024,Comida Fuera,No
Costco,"162,90 €",18 de mayo de 2024,Gastos Compartidos,No
Mantenimiento M6 Hyundai 2024,"204,87 €",18 de mayo de 2024,Reparaciones,No
Chino,"2,75 €",18 de mayo de 2024,Comida Fuera,No
Cyberpunk 2077,"29,99 €",19 de mayo de 2024,Videojuegos,No
Proyector Medio pago de Boda,"485,01 €",19 de mayo de 2024,Muebles y Electrodomésticos,No
Come fuera,"41,25 €",21 de mayo de 2024,Gastos Compartidos,No
Carrefour,"4,94 €",22 de mayo de 2024,Comida Fuera,No
Kichi,"57,20 €",23 de mayo de 2024,Gastos Compartidos,No
Comida Nala,"24,17 €",24 de mayo de 2024,Gastos Compartidos,No
Chino para papel burbujas,"6,94 €",25 de mayo de 2024,Gastos Compartidos,No
Lavado completo de coche,"15,00 €",25 de mayo de 2024,Otros Transporte,No
Mercadona,"34,67 €",25 de mayo de 2024,Gastos Compartidos,No
Alcampo,"15,92 €",25 de mayo de 2024,Otros Transporte,No
Devolución Ratón PC,"73,99 €",26 de mayo de 2024,PC,No
Carrefour,"9,19 €",26 de mayo de 2024,Gastos Compartidos,No
ALDI,"5,88 €",26 de mayo de 2024,Gastos Compartidos,No
Monitores y Brazo,"531,94 €",29 de mayo de 2024,PC,No
Pago a Ana Boda,"438,66 €",29 de mayo de 2024,Boda,No
Compartido + derrama - varias compras,"693,42 €",29 de mayo de 2024,Gastos Compartidos,No
Nómina Mayo,"1664,71 €",29 de mayo de 2024,Salario,No
"Valheim ","21,46 €",2 de junio de 2024,Videojuegos,Yes
Devolución Proyector,"485,01 €",2 de junio de 2024,Muebles y Electrodomésticos,No
Paypal,"26,54 €",4 de junio de 2024,Hobbies,No
Devolución Renta,"194,66 €",6 de junio de 2024,Devoluciones Recibidas,No
Préstamo Comprar libros de Vicente,"45,50 €",8 de junio de 2024,Préstamo Hecho,No
"El Corte Inglés ","2,99 €",8 de junio de 2024,Comida Diaria,No
Limpiar el coche,"1,00 €",8 de junio de 2024,Otros Transporte,No
Regleta y bridas,"25,97 €",9 de junio de 2024,PC,No
Placa Base Ender 3,"26,18 €",9 de junio de 2024,Hobbies,No
Metro chulo,"10,79 €",10 de junio de 2024,Capricho,No
Destornillador Xiaomi y Quitabarbas,"33,06 €",10 de junio de 2024,Capricho,No
Impresora etiquetas,"21,99 €",11 de junio de 2024,Capricho,No
Dominio para la boda,"8,46 €",11 de junio de 2024,Boda,No
Sacar dinero en efectivo,"20,00 €",12 de junio de 2024,Otros Transporte,No
Filamento,"15,90 €",13 de junio de 2024,Hobbies,No
Chino,"1,95 €",13 de junio de 2024,Comida Diaria,No
Compra,"21,95 €",17 de junio de 2024,Hobbies,No
Comida,"26,95 €",18 de junio de 2024,Comida Fuera,No
Corte de Pelo,"14,00 €",19 de junio de 2024,Otros Vida Diaria,No
